source_id,name,address,facility_type,business_type,risk_class,latest_inspection_date,latest_remark,inspection_count,latitude,longitude,source
F4430519-2E87-4531-9382-96B4B89E4506,Daisys Express,Klarabergsviadukten 72,,"Restaurang-, catering- och barverksamhet",6.0,2024-03-05,Utan avvikelse,7,59.33109701687604,18.056691067396486,Stockholms stad livsmedelskontroll
F918E2FE-E1D4-4280-B983-9E9D53305439,Dalahöjdens Äldreboende,Eastmansvägen 26,,"Restaurang-, catering- och barverksamhet",6.0,2025-08-05,Avvikelse,13,59.33843645195255,18.041995931112673,Stockholms stad livsmedelskontroll
CAEB7D88-8482-41F8-8913-ABE0BBEBA958,Dalensgrill AB,Dalens Allé 4,,"Restaurang-, catering- och barverksamhet",6.0,2025-05-27,Utan avvikelse,9,59.28502594459325,18.093158598996776,Stockholms stad livsmedelskontroll
9DECC193-4B6E-4E61-8377-934C8B825AA3,Damal Cafe,Rinkebystråket 101,,"Restaurang-, catering- och barverksamhet",7.0,2024-10-10,Utan avvikelse,6,59.39099893886787,17.9279156704977,Stockholms stad livsmedelskontroll
F2F17609-DB76-4FE3-B4CA-C9BF685AA1FC,Danske Bank Plan 8,Norrmalmstorg 1,,"Restaurang-, catering- och barverksamhet",6.0,2024-10-24,Utan avvikelse,8,59.333306535289495,18.072260771282938,Stockholms stad livsmedelskontroll
BC442BC2-95D5-47A7-B842-F5207DD4072E,Danviksklippan Pizza Express,Hästholmsvägen 16,,"Restaurang-, catering- och barverksamhet",6.0,2025-05-13,Utan avvikelse,20,59.312448282601835,18.10657775992075,Stockholms stad livsmedelskontroll
9D5283C7-27E3-45D2-8F33-044226C1CEE5,Danvikstulls dagliga verksamhet,Alsnögatan 11,,"Restaurang-, catering- och barverksamhet",,2025-05-13,Utan avvikelse,7,59.31372054198467,18.102387334532487,Stockholms stad livsmedelskontroll
8CACC54C-D568-4535-9733-8FD4563296A7,Dashi,Rådmansgatan 23,,"Restaurang-, catering- och barverksamhet",7.0,2025-09-04,Utan avvikelse,15,59.34270443446335,18.06584270102692,Stockholms stad livsmedelskontroll
4381A3C8-38E1-4F7D-BA5F-C618E1898D75,"Debaser, Capricci, Bar Brooklyn och Debaser Pontonen",Hornstulls Strand 4A,,"Restaurang-, catering- och barverksamhet",6.0,2025-06-24,Utan avvikelse,15,59.314893857137704,18.031220562696152,Stockholms stad livsmedelskontroll
7BC5CDF5-BFE5-408F-9B67-BB64E094CA22,Deglabbet Kungsholmen 1,Polhemsgatan 21,,"Restaurang-, catering- och barverksamhet",7.0,2025-09-04,Utan avvikelse,21,59.33051066094466,18.036419332378465,Stockholms stad livsmedelskontroll
27A7CA75-2357-46F9-ACE7-93C9FFA2837A,Deglabbet Upplandsgatan,Upplandsgatan 9B,,"Restaurang-, catering- och barverksamhet",7.0,2025-06-13,Avvikelse,15,59.337245473169006,18.053736412838692,Stockholms stad livsmedelskontroll
C3001DAA-A980-4A2D-8A9A-F69490EACED0,Deglabbet Östermalm,Birger jarlsgatan 44,,"Restaurang-, catering- och barverksamhet",,2025-06-24,,18,59.34005532563676,18.067325197910424,Stockholms stad livsmedelskontroll
DB1D43A5-6E22-4C4E-ABE5-FD654EFD0C52,Delfin IV,,,"Restaurang-, catering- och barverksamhet",8.0,2024-05-24,Utan avvikelse,7,59.33180961560729,18.083641725305707,Stockholms stad livsmedelskontroll
1924E2D2-E2AE-4F37-A215-04B3683B3E58,Deli Italia Södermalm 1,Erstagatan 20,,"Restaurang-, catering- och barverksamhet",5.0,2025-10-17,Utan avvikelse,12,59.314794121179155,18.089978274188308,Stockholms stad livsmedelskontroll
3E50275F-A423-4D9E-899C-D971C1141ACC,Delihem,Pipersgatan 32,,Detaljhandel,,2024-01-26,Utan avvikelse,4,59.33236895382126,18.04683802224551,Stockholms stad livsmedelskontroll
50B8F20C-FED6-42E4-BE04-FB38C153B586,Den gamle och havet,Tulegatan 27,,"Restaurang-, catering- och barverksamhet",6.0,2024-11-21,Utan avvikelse,10,59.34396778237657,18.060385559358856,Stockholms stad livsmedelskontroll
76C8232B-0152-4FCE-9CB3-B6A0F051C93B,Di Base,Rinkebytorget 8,,"Restaurang-, catering- och barverksamhet",,2025-05-14,Utan avvikelse,6,59.38768890195223,17.92914362929556,Stockholms stad livsmedelskontroll
